rank_2021,rank_2024,title,year,run_time,IMBD_rating_2021,IMBD_rating_2024,average_rating,genre,budget,box_office,popularity_score,metascore,oscars,url
140,148,unforgiven,1992,130,8.2,8.2,8.2,"Drama,Western",14400000.0,159167799.0,263.0,85.0,4.0,https://www.imdb.com/title/tt0105695/?ref_=chttp_t_129
149,147,no country for old men,2007,122,8.2,8.2,8.2,"Crime,Drama,Thriller",25000000.0,171627434.0,265.0,92.0,4.0,https://www.imdb.com/title/tt0477348/?ref_=chttp_t_130
153,149,the thing,1982,109,8.2,8.2,8.2,"Horror,Mystery,Sci-Fi",15000000.0,19632715.0,281.0,57.0,,https://www.imdb.com/title/tt0084787/?ref_=chttp_t_131
168,155,prisoners,2013,153,8.1,8.2,8.149999999999999,"Crime,Drama,Mystery",46000000.0,122126687.0,282.0,70.0,,https://www.imdb.com/title/tt1392214/?ref_=chttp_t_132
142,138,shutter island,2010,138,8.2,8.2,8.2,"Mystery,Thriller",80000000.0,294805697.0,289.0,63.0,,https://www.imdb.com/title/tt1130884/?ref_=chttp_t_133
118,117,die hard,1988,132,8.2,8.2,8.2,"Action,Thriller",28000000.0,141603197.0,320.0,72.0,,https://www.imdb.com/title/tt0095016/?ref_=chttp_t_134
105,109,full metal jacket,1987,116,8.3,8.2,8.25,"Drama,War",30000000.0,46358827.0,358.0,78.0,,https://www.imdb.com/title/tt0093058/?ref_=chttp_t_135
123,122,1917,2019,119,8.2,8.2,8.2,"Action,Drama,War",95000000.0,384479940.0,398.0,78.0,3.0,https://www.imdb.com/title/tt8579674/?ref_=chttp_t_136
138,134,the truman show,1998,103,8.2,8.2,8.2,"Comedy,Drama",60000000.0,264118201.0,401.0,90.0,,https://www.imdb.com/title/tt0120382/?ref_=chttp_t_137
116,126,taxi driver,1976,114,8.2,8.2,8.2,"Crime,Drama",1300000.0,28570902.0,402.0,94.0,,https://www.imdb.com/title/tt0075314/?ref_=chttp_t_138
141,144,the sixth sense,1999,107,8.2,8.2,8.2,"Drama,Mystery,Thriller",40000000.0,672806432.0,419.0,64.0,,https://www.imdb.com/title/tt0167404/?ref_=chttp_t_139
133,132,green book,2018,130,8.2,8.2,8.2,"Biography,Comedy,Drama",23000000.0,321752656.0,437.0,69.0,3.0,https://www.imdb.com/title/tt6966692/?ref_=chttp_t_140
103,113,a clockwork orange,1971,136,8.3,8.2,8.25,"Crime,Sci-Fi",2200000.0,26960374.0,532.0,77.0,,https://www.imdb.com/title/tt0066921/?ref_=chttp_t_141
119,121,snatch,2000,102,8.2,8.2,8.2,"Comedy,Crime",6000000.0,83557872.0,568.0,55.0,,https://www.imdb.com/title/tt0208092/?ref_=chttp_t_142
139,140,there will be blood,2007,158,8.2,8.2,8.2,Drama,25000000.0,76182388.0,586.0,93.0,2.0,https://www.imdb.com/title/tt0469494/?ref_=chttp_t_143
151,151,kill bill: vol. 1,2003,111,8.2,8.2,8.2,"Action,Crime,Drama",30000000.0,180906076.0,611.0,69.0,,https://www.imdb.com/title/tt0266697/?ref_=chttp_t_144
137,146,pan's labyrinth,2006,118,8.2,8.2,8.2,"Drama,Fantasy,War",19000000.0,83862032.0,632.0,98.0,3.0,https://www.imdb.com/title/tt0457430/?ref_=chttp_t_145
135,142,casino,1995,178,8.2,8.2,8.2,"Crime,Drama",52000000.0,116112375.0,673.0,73.0,,https://www.imdb.com/title/tt0112641/?ref_=chttp_t_146
143,150,a beautiful mind,2001,135,8.2,8.2,8.2,"Biography,Drama",58000000.0,316791257.0,685.0,72.0,4.0,https://www.imdb.com/title/tt0268978/?ref_=chttp_t_147
164,159,howl's moving castle,2004,119,8.2,8.2,8.2,"Animation,Adventure,Family",24000000.0,237536126.0,774.0,82.0,,https://www.imdb.com/title/tt0347149/?ref_=chttp_t_148
148,156,the great escape,1963,172,8.2,8.2,8.2,"Adventure,Drama,History",4000000.0,228178.0,801.0,86.0,,https://www.imdb.com/title/tt0057115/?ref_=chttp_t_149
154,157,finding nemo,2003,100,8.2,8.2,8.2,"Animation,Adventure,Comedy",94000000.0,941637960.0,805.0,90.0,1.0,https://www.imdb.com/title/tt0266543/?ref_=chttp_t_150
180,171,klaus,2019,96,8.2,8.2,8.2,"Animation,Adventure,Comedy",,,827.0,65.0,,https://www.imdb.com/title/tt4729430/?ref_=chttp_t_151
117,123,l.a. confidential,1997,138,8.2,8.2,8.2,"Crime,Drama,Mystery",35000000.0,126216940.0,1050.0,91.0,2.0,https://www.imdb.com/title/tt0119488/?ref_=chttp_t_152
120,118,indiana jones and the last crusade,1989,127,8.2,8.2,8.2,"Action,Adventure",48000000.0,474171806.0,1085.0,65.0,1.0,https://www.imdb.com/title/tt0097576/?ref_=chttp_t_153
124,125,downfall,2004,156,8.2,8.2,8.2,"Biography,Drama,History",13500000.0,92181574.0,1132.0,82.0,,https://www.imdb.com/title/tt0363163/?ref_=chttp_t_154
159,163,gone with the wind,1939,238,8.2,8.2,8.2,"Drama,Romance,War",3977000.0,402382193.0,1343.0,97.0,8.0,https://www.imdb.com/title/tt0031381/?ref_=chttp_t_155
163,165,the secret in their eyes,2009,129,8.2,8.2,8.2,"Drama,Mystery,Romance",,,1498.0,80.0,1.0,https://www.imdb.com/title/tt1305806/?ref_=chttp_t_156
147,158,monty python and the holy grail,1975,91,8.2,8.2,8.2,"Adventure,Comedy,Fantasy",229575.0,1940906.0,1515.0,91.0,,https://www.imdb.com/title/tt0071853/?ref_=chttp_t_157
130,137,the father,2020,97,8.2,8.2,8.2,"Drama,Mystery",6000000.0,24427162.0,1528.0,88.0,2.0,https://www.imdb.com/title/tt10272386/?ref_=chttp_t_158
129,133,some like it hot,1959,121,8.2,8.2,8.2,"Comedy,Music,Romance",2883848.0,195088.0,1750.0,98.0,1.0,https://www.imdb.com/title/tt0053291/?ref_=chttp_t_159
155,160,the elephant man,1980,124,8.2,8.2,8.2,"Biography,Drama",5000000.0,26023860.0,2200.0,78.0,,https://www.imdb.com/title/tt0080678/?ref_=chttp_t_160
126,131,for a few dollars more,1965,132,8.2,8.2,8.2,Western,600000.0,15000000.0,2404.0,74.0,,https://www.imdb.com/title/tt0059578/?ref_=chttp_t_161
131,139,all about eve,1950,138,8.2,8.2,8.2,Drama,1400000.0,151052.0,2478.0,98.0,6.0,https://www.imdb.com/title/tt0042192/?ref_=chttp_t_162
162,162,dial m for murder,1954,105,8.2,8.2,8.2,"Crime,Thriller",1400000.0,31207.0,4002.0,75.0,,https://www.imdb.com/title/tt0046912/?ref_=chttp_t_164
152,161,rashomon,1950,88,8.2,8.2,8.2,"Crime,Drama,Mystery",250000.0,81379.0,4483.0,98.0,,https://www.imdb.com/title/tt0042876/?ref_=chttp_t_165
145,154,yojimbo,1961,110,8.2,8.2,8.2,"Action,Drama,Thriller",,46808.0,,93.0,,https://www.imdb.com/title/tt0055630/?ref_=chttp_t_166
146,153,the treasure of the sierra madre,1948,126,8.2,8.2,8.2,"Adventure,Drama,Western",3000000.0,5014000.0,,98.0,3.0,https://www.imdb.com/title/tt0040897/?ref_=chttp_t_167
175,184,children of heaven,1997,89,8.2,8.2,8.2,"Drama,Family,Sport",,,,77.0,,https://www.imdb.com/title/tt0118849/?ref_=chttp_t_168
128,136,the kid,1921,68,8.3,8.2,8.25,"Comedy,Drama,Family",250000.0,41960.0,,,,https://www.imdb.com/title/tt0012349/?ref_=chttp_t_170
235,237,my father and my son,2005,112,8.2,8.2,8.2,"Drama,Family",,,,,,https://www.imdb.com/title/tt0476735/?ref_=chttp_t_171
195,203,sherlock jr.,1924,45,8.2,8.2,8.2,"Action,Comedy,Romance",,,,,,https://www.imdb.com/title/tt0015324/?ref_=chttp_t_172
222,232,the wizard of oz,1939,102,8.1,8.1,8.1,"Adventure,Family,Fantasy",2777000.0,25637669.0,223.0,92.0,2.0,https://www.imdb.com/title/tt0032138/?ref_=chttp_t_173
231,222,pirates of the caribbean: the curse of the black pearl,2003,143,8.1,8.1,8.1,"Action,Adventure,Fantasy",140000000.0,654264015.0,276.0,63.0,,https://www.imdb.com/title/tt0325980/?ref_=chttp_t_174
205,191,dead poets society,1989,128,8.1,8.1,8.1,"Comedy,Drama",16400000.0,235860116.0,297.0,79.0,1.0,https://www.imdb.com/title/tt0097165/?ref_=chttp_t_175
212,221,platoon,1986,120,8.1,8.1,8.1,"Drama,War",6000000.0,138545632.0,300.0,92.0,4.0,https://www.imdb.com/title/tt0091763/?ref_=chttp_t_176
198,182,mad max: fury road,2015,120,8.1,8.1,8.1,"Action,Adventure,Sci-Fi",150000000.0,415261382.0,311.0,90.0,6.0,https://www.imdb.com/title/tt1392190/?ref_=chttp_t_177
158,168,v for vendetta,2005,132,8.2,8.1,8.149999999999999,"Action,Drama,Sci-Fi",54000000.0,134686457.0,313.0,62.0,,https://www.imdb.com/title/tt0434409/?ref_=chttp_t_178
216,212,logan,2017,137,8.1,8.1,8.1,"Action,Drama,Sci-Fi",97000000.0,619179950.0,324.0,77.0,,https://www.imdb.com/title/tt3315342/?ref_=chttp_t_179
181,179,harry potter and the deathly hallows: part 2,2011,130,8.1,8.1,8.1,"Adventure,Family,Fantasy",125000000.0,1342359942.0,352.0,85.0,,https://www.imdb.com/title/tt1201607/?ref_=chttp_t_180
173,174,catch me if you can,2002,141,8.1,8.1,8.1,"Biography,Crime,Drama",,,359.0,75.0,,https://www.imdb.com/title/tt0264464/?ref_=chttp_t_181
161,167,inside out,2015,95,8.2,8.1,8.149999999999999,"Animation,Adventure,Comedy",175000000.0,858848019.0,364.0,94.0,1.0,https://www.imdb.com/title/tt2096673/?ref_=chttp_t_182
184,192,gone girl,2014,149,8.1,8.1,8.1,"Drama,Mystery,Thriller",,,378.0,79.0,,https://www.imdb.com/title/tt2267998/?ref_=chttp_t_183
215,219,the terminator,1984,107,8.1,8.1,8.1,"Action,Sci-Fi",6400000.0,78371200.0,391.0,84.0,,https://www.imdb.com/title/tt0088247/?ref_=chttp_t_184
176,187,blade runner,1982,117,8.1,8.1,8.1,"Action,Drama,Sci-Fi",28000000.0,41722424.0,409.0,84.0,,https://www.imdb.com/title/tt0083658/?ref_=chttp_t_185
185,189,the grand budapest hotel,2014,99,8.1,8.1,8.1,"Adventure,Comedy,Crime",25000000.0,173082189.0,442.0,88.0,4.0,https://www.imdb.com/title/tt2278388/?ref_=chttp_t_186
239,239,the handmaiden,2016,145,8.1,8.1,8.1,"Drama,Romance,Thriller",,,446.0,85.0,1.0,https://www.imdb.com/title/tt4016934/?ref_=chttp_t_187
213,199,ratatouille,2007,111,8.1,8.1,8.1,"Animation,Adventure,Comedy",150000000.0,623726085.0,460.0,96.0,1.0,https://www.imdb.com/title/tt0382932/?ref_=chttp_t_188
192,190,hacksaw ridge,2016,139,8.1,8.1,8.1,"Biography,Drama,History",40000000.0,180563636.0,484.0,71.0,2.0,https://www.imdb.com/title/tt2119532/?ref_=chttp_t_189
217,234,stand by me,1986,89,8.1,8.1,8.1,"Adventure,Drama",8000000.0,52287414.0,501.0,75.0,,https://www.imdb.com/title/tt0092005/?ref_=chttp_t_190
246,247,the help,2011,146,8.1,8.1,8.1,Drama,25000000.0,216639112.0,508.0,62.0,1.0,https://www.imdb.com/title/tt1454029/?ref_=chttp_t_191
206,215,the big lebowski,1998,117,8.1,8.1,8.1,"Comedy,Crime",15000000.0,46969409.0,530.0,71.0,,https://www.imdb.com/title/tt0118715/?ref_=chttp_t_192
204,202,jaws,1975,124,8.1,8.1,8.1,"Adventure,Thriller",7000000.0,476512065.0,553.0,87.0,3.0,https://www.imdb.com/title/tt0073195/?ref_=chttp_t_193
226,228,the exorcist,1973,122,8.1,8.1,8.1,Horror,11000000.0,441306145.0,643.0,83.0,2.0,https://www.imdb.com/title/tt0070047/?ref_=chttp_t_194
167,172,trainspotting,1996,93,8.1,8.1,8.1,Drama,1500000.0,16767475.0,718.0,83.0,,https://www.imdb.com/title/tt0117951/?ref_=chttp_t_195
201,201,how to train your dragon,2010,98,8.1,8.1,8.1,"Animation,Action,Adventure",165000000.0,494879471.0,725.0,75.0,,https://www.imdb.com/title/tt0892769/?ref_=chttp_t_196
210,208,ford v ferrari,2019,152,8.1,8.1,8.1,"Action,Biography,Drama",97600000.0,225508210.0,763.0,81.0,2.0,https://www.imdb.com/title/tt1950186/?ref_=chttp_t_197
194,193,memories of murder,2003,132,8.1,8.1,8.1,"Crime,Drama,Mystery",2800000.0,1166717.0,767.0,82.0,,https://www.imdb.com/title/tt0353969/?ref_=chttp_t_198
170,175,fargo,1996,98,8.1,8.1,8.1,"Crime,Thriller",7000000.0,60611975.0,784.0,88.0,2.0,https://www.imdb.com/title/tt0116282/?ref_=chttp_t_199
241,236,the sound of music,1965,172,8.1,8.1,8.1,"Biography,Drama,Family",8200000.0,159428329.0,794.0,63.0,5.0,https://www.imdb.com/title/tt0059742/?ref_=chttp_t_200
190,200,the deer hunter,1978,183,8.1,8.1,8.1,"Drama,War",15000000.0,49074379.0,873.0,90.0,5.0,https://www.imdb.com/title/tt0077416/?ref_=chttp_t_201
211,213,rocky,1976,120,8.1,8.1,8.1,"Drama,Sport",960000.0,117250402.0,882.0,70.0,3.0,https://www.imdb.com/title/tt0075148/?ref_=chttp_t_202
169,176,warrior,2011,140,8.2,8.1,8.149999999999999,"Action,Drama,Sport",25000000.0,23308615.0,887.0,71.0,,https://www.imdb.com/title/tt1291584/?ref_=chttp_t_203
220,240,into the wild,2007,148,8.1,8.1,8.1,"Adventure,Biography,Drama",15000000.0,56675895.0,929.0,73.0,,https://www.imdb.com/title/tt0758758/?ref_=chttp_t_204
203,197,"monsters, inc.",2001,92,8.1,8.1,8.1,"Animation,Adventure,Comedy",115000000.0,579707738.0,1011.0,79.0,1.0,https://www.imdb.com/title/tt0198781/?ref_=chttp_t_205
179,186,12 years a slave,2013,134,8.1,8.1,8.1,"Biography,Drama,History",20000000.0,187733202.0,1016.0,96.0,3.0,https://www.imdb.com/title/tt2024544/?ref_=chttp_t_206
174,180,million dollar baby,2004,132,8.1,8.1,8.1,"Drama,Sport",30000000.0,216763646.0,1028.0,86.0,4.0,https://www.imdb.com/title/tt0405159/?ref_=chttp_t_207
165,169,"three billboards outside ebbing, missouri",2017,115,8.1,8.1,8.1,"Comedy,Crime,Drama",15000000.0,162861289.0,1052.0,88.0,2.0,https://www.imdb.com/title/tt5027774/?ref_=chttp_t_209
214,218,spotlight,2015,129,8.1,8.1,8.1,"Biography,Crime,Drama",20000000.0,98690254.0,1167.0,93.0,2.0,https://www.imdb.com/title/tt1895587/?ref_=chttp_t_210
218,229,rush,2013,123,8.1,8.1,8.1,"Action,Biography,Drama",38000000.0,96983009.0,1253.0,74.0,1.0,https://www.imdb.com/title/tt1979320/?ref_=chttp_t_211
178,188,before sunrise,1995,101,8.1,8.1,8.1,"Drama,Romance",2500000.0,5987386.0,1274.0,78.0,,https://www.imdb.com/title/tt0112471/?ref_=chttp_t_212
225,227,the best years of our lives,1946,170,8.1,8.1,8.1,"Drama,Romance,War",2100000.0,23661347.0,1304.0,93.0,7.0,https://www.imdb.com/title/tt0036868/?ref_=chttp_t_213
160,166,"lock, stock and two smoking barrels",1998,107,8.2,8.1,8.149999999999999,"Action,Comedy,Crime",960000.0,3753929.0,1411.0,67.0,1.0,https://www.imdb.com/title/tt0120735/?ref_=chttp_t_214
156,164,chinatown,1974,130,8.2,8.1,8.149999999999999,"Drama,Mystery,Thriller",6000000.0,29225935.0,1427.0,92.0,1.0,https://www.imdb.com/title/tt0071315/?ref_=chttp_t_215
202,217,room,2015,118,8.1,8.1,8.1,"Drama,Thriller",13000000.0,35401758.0,1676.0,86.0,1.0,https://www.imdb.com/title/tt3170832/?ref_=chttp_t_216
191,185,barry lyndon,1975,185,8.1,8.1,8.1,"Adventure,Drama,War",11000000.0,199632.0,1706.0,89.0,4.0,https://www.imdb.com/title/tt0072684/?ref_=chttp_t_217
171,178,gran torino,2008,116,8.1,8.1,8.1,Drama,33000000.0,269958228.0,1763.0,73.0,,https://www.imdb.com/title/tt1205489/?ref_=chttp_t_218
196,198,wild tales,2014,122,8.1,8.1,8.1,"Comedy,Drama,Thriller",,,1771.0,77.0,,https://www.imdb.com/title/tt3011894/?ref_=chttp_t_219
172,181,my neighbor totoro,1988,86,8.1,8.1,8.1,"Animation,Comedy,Family",,,1870.0,87.0,,https://www.imdb.com/title/tt0096283/?ref_=chttp_t_220
157,170,raging bull,1980,129,8.2,8.1,8.149999999999999,"Biography,Drama,Sport",18000000.0,23402427.0,2029.0,90.0,2.0,https://www.imdb.com/title/tt0081398/?ref_=chttp_t_222
229,223,la haine,1995,98,8.1,8.1,8.1,"Crime,Drama",,,2086.0,,,https://www.imdb.com/title/tt0113247/?ref_=chttp_t_223
245,242,the iron giant,1999,86,8.1,8.1,8.1,"Animation,Action,Adventure",70000000.0,23335817.0,2148.0,85.0,1.0,https://www.imdb.com/title/tt0129167/?ref_=chttp_t_224
232,235,hachi: a dog's tale,2009,93,8.1,8.1,8.1,"Biography,Drama,Family",,,2235.0,,,https://www.imdb.com/title/tt1028532/?ref_=chttp_t_225
166,173,the bridge on the river kwai,1957,161,8.2,8.1,8.149999999999999,"Adventure,Drama,War",3000000.0,27200000.0,2287.0,88.0,7.0,https://www.imdb.com/title/tt0050212/?ref_=chttp_t_226
183,183,ben-hur,1959,212,8.1,8.1,8.1,"Adventure,Drama",15000000.0,74437720.0,2354.0,90.0,11.0,https://www.imdb.com/title/tt0052618/?ref_=chttp_t_227
188,211,the third man,1949,93,8.1,8.1,8.1,"Film-Noir,Mystery,Thriller",,1226507.0,2366.0,97.0,1.0,https://www.imdb.com/title/tt0041959/?ref_=chttp_t_228
219,233,network,1976,121,8.1,8.1,8.1,Drama,3800000.0,23690757.0,2517.0,83.0,4.0,https://www.imdb.com/title/tt0074958/?ref_=chttp_t_229
200,205,mary and max,2009,92,8.1,8.1,8.1,"Animation,Comedy,Drama",8240000.0,1740429.0,2625.0,72.0,,https://www.imdb.com/title/tt0978762/?ref_=chttp_t_230
221,226,before sunset,2004,80,8.1,8.1,8.1,"Drama,Romance",,,2681.0,91.0,,https://www.imdb.com/title/tt0381681/?ref_=chttp_t_231
237,246,rebecca,1940,130,8.1,8.1,8.1,"Drama,Film-Noir,Mystery",1288000.0,72275.0,2738.0,86.0,2.0,https://www.imdb.com/title/tt0032976/?ref_=chttp_t_232
199,216,the seventh seal,1957,96,8.1,8.1,8.1,"Drama,Fantasy",150000.0,311212.0,2804.0,88.0,,https://www.imdb.com/title/tt0050976/?ref_=chttp_t_233
189,194,in the name of the father,1993,133,8.1,8.1,8.1,"Biography,Crime,Drama",,,2806.0,84.0,,https://www.imdb.com/title/tt0107207/?ref_=chttp_t_234
182,206,on the waterfront,1954,108,8.1,8.1,8.1,"Crime,Drama,Thriller",910000.0,910000.0,3204.0,91.0,8.0,https://www.imdb.com/title/tt0047296/?ref_=chttp_t_235
209,220,hotel rwanda,2004,121,8.1,8.1,8.1,"Biography,Drama,History",17500000.0,33882243.0,3983.0,79.0,,https://www.imdb.com/title/tt0395169/?ref_=chttp_t_236
233,243,the grapes of wrath,1940,129,8.1,8.1,8.1,Drama,800000.0,800000.0,,96.0,2.0,https://www.imdb.com/title/tt0032551/?ref_=chttp_t_237
230,241,the battle of algiers,1966,121,8.1,8.1,8.1,"Drama,War",800000.0,962002.0,,96.0,,https://www.imdb.com/title/tt0058946/?ref_=chttp_t_239
207,214,tokyo story,1953,136,8.2,8.1,8.149999999999999,Drama,,,,100.0,,https://www.imdb.com/title/tt0046438/?ref_=chttp_t_241
197,210,mr. smith goes to washington,1939,129,8.1,8.1,8.1,"Comedy,Drama",1900000.0,144738.0,,73.0,1.0,https://www.imdb.com/title/tt0031679/?ref_=chttp_t_242
208,225,the passion of joan of arc,1928,114,8.2,8.1,8.149999999999999,"Biography,Drama,History",,,,98.0,,https://www.imdb.com/title/tt0019254/?ref_=chttp_t_243
228,238,to be or not to be,1942,99,8.2,8.1,8.149999999999999,"Comedy,Romance,War",,,,86.0,,https://www.imdb.com/title/tt0035446/?ref_=chttp_t_244
177,195,the gold rush,1925,95,8.1,8.1,8.1,"Adventure,Comedy,Drama",923000.0,29328.0,,,,https://www.imdb.com/title/tt0015864/?ref_=chttp_t_245
227,230,the incredibles,2004,115,8.0,8.0,8.0,"Animation,Action,Adventure",92000000.0,631607053.0,580.0,90.0,2.0,https://www.imdb.com/title/tt0317705/?ref_=chttp_t_247
224,244,groundhog day,1993,101,8.1,8.0,8.05,"Comedy,Drama,Fantasy",14600000.0,71108591.0,1293.0,72.0,1.0,https://www.imdb.com/title/tt0107048/?ref_=chttp_t_248
238,248,cool hand luke,1967,127,8.1,8.0,8.05,"Crime,Drama",3200000.0,67.0,2748.0,92.0,1.0,https://www.imdb.com/title/tt0061512/?ref_=chttp_t_249
236,245,amores perros,2000,154,8.1,8.0,8.05,"Drama,Thriller",2000000.0,20908467.0,3119.0,83.0,,https://www.imdb.com/title/tt0245712/?ref_=chttp_t_250
